business name,address,external link,phone number,industry,additional_info,emails,business hours,teaser
Skechers Retail,"2855 Stevens Creek Blvd Santa Clara, CA 95050",,(408) 557-0438,Retail,"Shoes, Clothing, Childrens Shoes, Women's Clothing, Athletic Clothing",[],"Business Hours: Sun 11am-7pm, Mon-Fri 10am-9:30pm, Sat 10am-9pm",
Skechers Retail,"1000 Universal Studios Blvd Ste V118 Universal City, CA 91608",,(818) 762-9688,Retail,"Shoes, Childrens Shoes, Athletic Clothing, Mastercard Accepted, Women's Clothing, Clothing, Visa Accepted",[],"Business Hours: Fri-Sat 11am-11pm, Sun-Thu 11am-9pm",
Skechers Retail,"8500 Beverly Blvd Ste 643 Los Angeles, CA 90048",,(310) 652-5185,Retail,"Unclassified, American Express Accepted, Clothing, Shoes, Diners Club Accepted, Wholesale Shoes, Discover Accepted, Debit Card Accepted, Women's Clothing, Childrens Shoes, Visa Accepted, Mastercard Accepted, Women's Footwear Manufacturers",[],"Business Hours: Sun 11am-6pm, Mon-Fri 10am-9pm, Sat 10am-8pm",
Skechers Retail,"555 The Shops At Mission Viejo Mission Viejo, CA 92691",,(949) 365-1256,Retail,"Childrens Shoes, Women's Clothing, Athletic Clothing, Shoes, Clothing",[],"Business Hours: Sun 11am-6pm, Mon-Fri 10am-9pm, Sat 10am-8pm",
Beachworks Retail,"1151 Galleria Blvd Ste 2180 Roseville, CA 95678",,(916) 781-2801,Retail,"Clothing, Sleepwear, Surfboards",[],"Business Hours: Mon - Sat, 10am - 9pm; Sun, 11am - 7pm",
Retail Anywhere,"811 12th St # 201 Paso Robles, CA 93446",,(805) 546-2900,Retail,"Music CDs & Tapes, Computer Support Services, Software, Computers, Wholesale Cash Registers",[],Business Hours: Mon. - Fri. 9am - 5pm;Sat. - Sun. CLOSED,
Retail Therapy,"2098 S Grand Ave Santa Ana, CA 92705",,(714) 850-1951,Retail,"Clothing, General Merchandise Stores",[],,
Skechers Retail,"358 Plaza Dr West Covina, CA 91790",,(626) 337-9056,Retail,"Shoes, Athletic Clothing, Clothing, Women's Clothing, Childrens Shoes",[],"Business Hours: Sun 11am-7pm, Mon-Sat 10am-9pm",
Skechers Retail,"200 Powell St San Francisco, CA 94102",,(415) 986-7044,Retail,"Women's Clothing, Shoes, Clothing, Childrens Shoes, Athletic Clothing",[],"Business Hours: Sun 11am-8pm, Mon-Sat 10am-9pm",
Skechers Retail,"1815 Hawthorne Blvd Ste 138 Redondo Beach, CA 90278",,(310) 370-7769,Retail,"Athletic Clothing, American Express Accepted, Women's Clothing, Wholesale Shoes, Women's Footwear Manufacturers, Visa Accepted, Mastercard Accepted, Discover Accepted, Shoes, Shoe Manufacturers, Clothing, Childrens Shoes",[],"Business Hours: Sun 11am-7pm, Mon-Fri 11am-9pm, Sat 11am-8pm",
Starlight Retail,"1800 Vine St Los Angeles, CA 90028",,(888) 828-8065,Retail,Telecommunications,[],"Business Hours: Mon 09:00-17:00,Tue 09:00-17:00,Wed 09:00-17:00,Thr 09:00-17:00,Fri 09:00-17:00",
Retail Next,"60 S Market St Ste 1000 San Jose, CA 95113",,(408) 884-2162,Retail,"Computer Programming Services, Information & Referral Services",[],,
Skechers Retail,"101 Powell St San Francisco, CA 94102",,(415) 982-0209,Retail,"Athletic Clothing, Women's Clothing, Shoes, General Merchandise Stores",[],"Business Hours: Sun 11am-8pm, Mon-Sat 10am-9pm",
Beta Retail,"333 Santana Row San Jose, CA 95128",,(408) 423-9354,Retail,"Consumer Electronics, General Merchandise Stores",[],,
US Retail,"950 W Maude Ave Sunnyvale, CA 94085",,(650) 258-8673,Retail,General Merchandise Stores,[],,
Shoe Retail,"1110 S King Rd San Jose, CA 95122",,(408) 520-3651,Retail,Shoes,[],,
Retail Detail,"2895 Gilbert Ave Corona, CA 92881",,(951) 254-9872,Retail,Unclassified,[],,
Retail One,"155 Montgomery St San Francisco, CA 94104",,(415) 296-0739,Retail,"Air Fresheners, General Merchandise Stores, Glue, Soap, Deordorant",[],,
Sunglasses Retail,"13850 City Center Dr Ste 5057 Chino Hills, CA 91709",,(909) 591-9484,Retail,"Luxottica, Sunglasses",[],"Business Hours: Sun 24 Hours, Mon-Sat 10am-9pm",
Retail Insite,"12264 El Camino Real Ste 202 San Diego, CA 92130",,(858) 523-2090,Retail,"Real Estate Consultants, Real Estate Agents",[],Business Hours: Mon. - Fri. 9am - 5pm;Sat. - Sun. CLOSED,
Skechers Retail,"807 State St Santa Barbara, CA 93101",,(805) 560-1917,Retail,"Athletic Clothing, Shoes, Women's Clothing",[],"Business Hours: Sun 11am-7pm, Mon-Thu 10am-8pm, Fri-Sat 10am-9pm",
Moller Retail,"42011 Sierra Hwy Lancaster, CA 93535",,(805) 299-8200,Retail,General Merchandise Stores,[],,
Retail Alliance,"108 Locust St Ste 5 Santa Cruz, CA 95060",,(831) 471-2568,Retail,Community Organizations,[],,
Mothers Retail Store,"15435 S Western Ave Gardena, CA 90249",,(310) 516-9047,Retail,Clothing,[],,
Retail Shoes Stride Rite,"400 S Baldwin Ave Arcadia, CA 91007",,(626) 445-9755,Retail,"Shopping, Shoes, Childrens Shoes",[],,
Sears Authorized Retail Dealer,"2401 S Vineyard Ave Ste B Ontario, CA 91761",,(909) 923-5991,Retail,Shopping,[],,
No Fear Retail,"2001 E Montclair Plaza Ln Montclair, CA 91763",,(909) 624-3329,Retail,"Clothing, Sleepwear, Athletic Clothing",[],,
Tommy Hilfiger Retail,"5610 Paseo del Norte Ste 117 Carlsbad, CA 92008",,(760) 431-8806,Retail,"Factory Outlets, Men's Clothing, Sleepwear, Clothing",[],"Business Hours: Mon - Sat, 10am - 9pm; Sun, 10am - 6pm",
K C Retail,"2075 E Highland Ave San Bernardino, CA 92404",,(909) 864-4764,Retail,"General Merchandise Stores, Clothing",[],,
Vss Lingerie Retail,"6600 Topanga Canyon Blvd Canoga Park, CA 91303",,(818) 887-7195,Retail,"Clothing, Lingerie",[],,
Ecco Retail LLC,"400 S Baldwin Ave Arcadia, CA 91007",,(626) 294-9370,Retail,"Clothing, Shoes, General Merchandise Stores",[],,
Polo Retail Corp,"8225 Arroyo Cir Gilroy, CA 95020",,(408) 842-7951,Retail,"Soap, Deordorant, General Merchandise Stores, Clothing, Children's Clothing, Air Fresheners, Glue, Factory Outlets",[],,
Asics Retail Store,"101 W Avenida Vista Hermosa San Clemente, CA 92672",,(949) 498-2278,Retail,"Factory Outlets, General Merchandise Stores, Clothing, Shoes",[],,
No Fear Retail,"24201 Valencia Blvd Ste 2014 Valencia, CA 91355",,(661) 287-3327,Retail,"Athletic Clothing, Clothing, Sporting Goods, Fabric Stores, Sleepwear",[],Business Hours: Mon. - Fri. 10am - 9pm;Sat. 10am - 8pm;Sun. 11am - 7pm,
Hospitality Retail Sales,"1112 W Barkley Ave Orange, CA 92868",,(949) 417-5053,Retail,"Mastercard Accepted, Visa Accepted, Clothing, Sleepwear",[],,
Vineyard Vines Retail,"20 Main St Belvedere Tiburon, CA 94920",,(415) 789-8602,Retail,"Women's Clothing, Factory Outlets, Clothing, Vineyards",[],,
Alameda Morrison Retail,"1179 S De Anza Blvd San Jose, CA 95129",,(408) 257-7509,Retail,"General Merchandise Stores, Personal Shoppers",[],,
Therese Thomas Retail,"9303 N Maple Ave Apt 101 Fresno, CA 93720",,(559) 434-5670,Retail,General Merchandise Stores,[],,
G & G Retail,"3650 W Martin Luther King Jr Blvd Los Angeles, CA 90008",,(323) 296-2249,Retail,General Merchandise Stores,[],,
Centerra Retail Group,"5588 N Palm Ave Fresno, CA 93704",,(559) 436-8880,Retail,Real Estate Consultants,[],,
Andrew Armey Retail,"6857 E Cambridge Ave Fresno, CA 93727",,(559) 313-4007,Retail,General Merchandise Stores,[],,
Caliber Retail Properties,"17682 Mitchell N Ste 201 Irvine, CA 92614",,(949) 725-0103,Retail,Real Estate Consultants,[],,
National Retail Transportation,"550 W Victoria St Compton, CA 90220",,(310) 608-0859,Retail,"Freight Consolidators, Motor Freight Trucking, Trucking Companies",[],,
Pacific Retail Capital,"222 N Pacific Coast Hwy Ste 2350 El Segundo, CA 90245",,(310) 641-8805,Retail,General Merchandise Stores,[],,
Integrity Retail Distribution,"8351 Luzon Ave Sacramento, CA 95828",,(916) 387-8572,Retail,"Trucking Companies, Business Management Consultants, Transportation Services",[],,
Sunnyvale Retail Ctr,"1195 Nikulina Ct San Jose, CA 95120",,(408) 497-1218,Retail,Discount Stores,[],,
Integrity Retail Distribution,"4055 W Shaw Ave Ste 109 Fresno, CA 93722",,(559) 277-5504,Retail,Trucking Companies,[],,
General Merchandise Retail,"1707 S Main St Santa Ana, CA 92707",,(714) 550-0455,Retail,"Grocery Stores, Discount Stores",[],,
Hayastan Wholesale & Retail,"12928 Sherman Way North Hollywood, CA 91605",,(818) 765-6867,Retail,"Grocery Stores, Women's Clothing",[],,
Bauer Retail INC,"1337 Lyonsville Ln San Jose, CA 95118",,(408) 266-3073,Retail,Professional Services,[],,
Goodyear Tire Retail,"1596 Newport Blvd Costa Mesa, CA 92627",,(949) 548-9383,Retail,"Yokohama, Visa Accepted, Tires & Wheels, Tires, Mastercard Accepted, Goodyear, Continental, Toyo",[],,
Retail One Inc,"435 Orange Show Ln San Bernardino, CA 92408",,(909) 386-5884,Retail,General Merchandise Stores,[],,
Specialty Retail Venture,"900 Dana Dr Redding, CA 96003",,(530) 221-1239,Retail,General Merchandise Stores,[],,
Pacific Auto Retail,"10930 Limonite Ave Jurupa Valley, CA 91752",,(951) 735-0355,Retail,Used Car Dealers,[],,
Jeremys Retail Inc,"2967 College Ave Berkeley, CA 94705",,(510) 849-0701,Retail,"Air Fresheners, Department Stores, Glue, Deordorant, General Merchandise Stores, Soap",[],"Business Hours: Sun 12pm-6pm, Mon-Wed 11am-6pm, Fri-Sat 11am-6pm, Thu 11am-8pm",
Macy's Retail Holdings,"22 4th St Fl 6 San Francisco, CA 94103",,(415) 984-7479,Retail,Department Stores,[],,
Commercial Retail Assoc,"680 W Shaw Ave Ste 202 Fresno, CA 93704",,(559) 650-1300,Retail,"Real Estate Agents, Property Management, Real Estate Consultants",[],Business Hours: Mon. - Fri. 9am - 5pm;Sat. - Sun. CLOSED,
Village Oaks Retail,"5640 Cottle Rd San Jose, CA 95123",,(408) 227-1197,Retail,"Real Estate Consultants, Property Management",[],,
Evolution Retail Concepts,"2616 E Garvey Ave S West Covina, CA 91791",,(626) 858-3316,Retail,"General Merchandise Stores, Phone Equipment",[],,
Dr Martens Retail,"1621 Haight St San Francisco, CA 94117",,(415) 503-1772,Retail,Shoes,[],,
Retail & Commercial Cleaning,"1442 E Lincoln Ave # 355 Orange, CA 92865",,(714) 282-8369,Retail,Janitors,[],,
Wachovia Retail Financial,"12656 Perris Blvd Moreno Valley, CA 92553",,(951) 488-9927,Retail,Banks,[],,
Mcs Retail Office,"PO Box 555020 Camp Pendleton, CA 92055",,(760) 725-6305,Retail,"Boat Parts & Equipment, Wholesale Marine Equipment, Marine Equipment Manufacturers",[],,
Retail Link Associates,"22342 Avenida Empresa Ste 260 Rancho Santa Margarita, CA 92688",,(949) 251-1620,Retail,"Business Management Consultants, Real Estate Consultants, General Merchandise Stores",[],,
Retail Marketing Solutions,"2301 Armstrong St Ste 113 Livermore, CA 94551",,(925) 443-4147,Retail,"Marketing Consultants, Business Services",[],,
Retail Marketing Svc,"6228 Belmar Ave Tarzana, CA 91335",,(818) 345-7501,Retail,"Advertising, Advertising Agencies, Marketing Consultants",[],,
Retail World Unlimited,"8416 Rumson Dr Santee, CA 92071",,(800) 220-4795,Retail,General Merchandise Stores,[],,
Retail Security Inc,"421 Ellis Cir Folsom, CA 95630",,(916) 628-1419,Retail,Wholesale Security Control Equipment,[],,
Andle Bar Retail,"5694 E Burns Ave Fresno, CA 93727",,(916) 847-0051,Retail,Discount Stores,[],,
International Retail Professionals,"22631 Pacific Coast Hwy # 352 Malibu, CA 90265",,(424) 202-2448,Retail,General Merchandise Stores,[],,
Strategic Retail Advisors,"3990 Westerly Pl Ste 230 Newport Beach, CA 92660",,(949) 748-8080,Retail,"Real Estate Consultants, Business Management Consultants, Appraisals, Real Estate Agents",[],"Business Hours: Mon - Fri, 9am - 5pm; Sat, Sun, closed",
Viable Retail Solutions,"32147 Dunlap Blvd Ste G Yucaipa, CA 92399",,(909) 570-9997,Retail,Graphic Designers,[],,
African Retail Traders,"2242 MacArthur Blvd Oakland, CA 94602",,(510) 530-3736,Retail,Ethnic Goods,[],,
Nut Tree Retail,"1621 E Monte Vista Ave Vacaville, CA 95688",,(707) 448-2713,Retail,"Soap, Air Fresheners, Glue, Building Maintenance, Deordorant, General Merchandise Stores",[],,
Retail Clerks Union,"28870 Mission Blvd Hayward, CA 94544",,(510) 889-0880,Retail,"Community Organizations, Business Organizations, Labor Unions",[],,
Asics Retail Store,"10250 Santa Monica Blvd Los Angeles, CA 90067",,(310) 203-9680,Retail,General Merchandise Stores,[],,
National Retail SVC,"970 Reserve Dr Ste 180 Roseville, CA 95678",,(916) 787-0315,Retail,Air Conditioning Contractors,[],,
Rmsa Retail Solutions,"1450 Iowa Ave Ste 250 Riverside, CA 92507",,(951) 682-0101,Retail,"Soap, Air Fresheners, General Merchandise Stores, Glue, Deordorant",[],Business Hours: Mon-Fri 7am-4pm,
W R Retail,"3550 Manthey Rd Ste G Stockton, CA 95206",,(209) 983-0141,Retail,Convenience Stores,[],,
Fazekas Retail Group,"3322 Clay St San Francisco, CA 94118",,(415) 989-5800,Retail,"Real Estate Agents, Real Estate Consultants",[],Business Hours: Mon. - Fri. 9am - 5pm;Sat. - Sun. CLOSED,
Sabrina Rodriguez Retail,"75 W Fir Ave Fresno, CA 93650",,(559) 709-8117,Retail,"Soap, Deordorant, General Merchandise Stores, Air Fresheners, Glue",[],,
Palm Retail Store,"189 The Grove Dr # F90 Los Angeles, CA 90036",,(323) 692-0600,Retail,"Car Alarms, Consumer Electronics, Hitachi",[],,
Integrity Retail Distribution,"3140 S Northpointe Dr Ste 101 Fresno, CA 93725",,(559) 264-2455,Retail,"Wholesale Distribution Centers, Paper Manufacturers, Advertising",[],,
Retail Management Corp,"122 S Robertson Blvd Los Angeles, CA 90048",,(310) 275-7222,Retail,"Real Estate Agents, Real Estate Consultants, Property Management",[],,
Retail Select Svc,"25611 Elm Bank Dr Laguna Hills, CA 92653",,(949) 305-8796,Retail,General Merchandise Stores,[],,
Ecco Retail LLC,"3525 W Carson St # 410B Torrance, CA 90503",,(818) 956-5700,Retail,"General Merchandise Stores, Shoes",[],,
Packet Retail Co,"547 E California Blvd Pasadena, CA 91106",,(626) 577-9215,Retail,"Glue, General Merchandise Stores, Deordorant, Soap, Air Fresheners",[],,
American Fleet & Retail,"2091 Del Rio Way # G Ontario, CA 91761",,(909) 937-7570,Retail,Graphic Designers,[],,
Western Retail Advisors,"3333 Michelson Dr Ste 720 Irvine, CA 92612",,(949) 955-0391,Retail,"Western Wear, Business Management Consultants, Real Estate Consultants",[],,
Danny Rodriguez Retail,"4573 E Washington Ave Fresno, CA 93702",,(559) 548-3701,Retail,General Merchandise Stores,[],,
Furniture Retail Operations,"4401 Hazel Ave Ste 210 Fair Oaks, CA 95628",,(916) 863-5196,Retail,"Furniture, Computer Consultants, Computer System Designers, Computer System Designers",[],Business Hours: By appointment,
Ocean Retail Group,"1065 Brea Mall Brea, CA 92821",,(714) 672-0785,Retail,"General Merchandise Stores, Acting",[],,
Retail Portfolio Solution,"182 Nyes Pl Laguna Beach, CA 92651",,(949) 715-9032,Retail,"General Merchandise Stores, Air Fresheners, Business Management Consultants, Deordorant, Soap, Glue",[],"Business Hours: Mon - Fri, 9am - 5pm; Sat, Sun, closed",
Retail Commercial Properties,"605 Cambridge Ave # 2 Menlo Park, CA 94025",,(650) 323-2032,Retail,Real Estate Consultants,[],,
Taang Records & Retail,"3830 5th Ave San Diego, CA 92103",,(619) 296-4015,Retail,"Used Records, General Merchandise Stores, Music CDs & Tapes",[],Business Hours: Monday To Sunday From 11:30 AM To 09:30 PM,
EZ Wholesale & Retail,"8192 Garden Grove Blvd Garden Grove, CA 92844",,(714) 638-8613,Retail,"Wholesalers, Auto Leasing, Auto Rentals",[],,
Retail Graphix Imaging,"6162 Wilderness Ave Riverside, CA 92504",,(951) 406-1325,Retail,"Wholesale Paper Products, Graphic Designers",[],,
Retail Opportunity Investments,"12401 Folsom Blvd Rancho Cordova, CA 95742",,(858) 677-0900,Retail,Real Estate Trusts,[],,
AM Retail Group Inc,"320 Grant Ave San Francisco, CA 94108",,(415) 398-4041,Retail,"General Merchandise Stores, Sleepwear, Clothing, Radio Broadcasting",[],,
Children's Place Retail Stores,"20700 Avalon Blvd Carson, CA 90746",,(310) 516-1478,Retail,"Children's Clothing, Clothing, Sleepwear, Shop Online",[],"Business Hours: Sun 11am-6pm, Mon-Sat 10am-9pm",
Net Retail Software Inc,"560 San Antonio Rd Ste 100 Palo Alto, CA 94306",,(650) 493-4100,Retail,Software,[],,
Rodd & Gunn USA Retail,"10250 Santa Monica Blvd Los Angeles, CA 90067",,(424) 313-8588,Retail,"Clothing, General Merchandise Stores",[],,
Secured Retail Networks INC,"9983 Muirlands Blvd Irvine, CA 92618",,(949) 544-8599,Retail,"Glue, Air Fresheners, Government Contractors, Business Management Consultants, Soap, General Merchandise Stores, Deordorant",[],Business Hours: Mon-Fri 8am-6pm,
Moleskine America Retail LLC,"653 Market St San Francisco, CA 94105",,(415) 757-0726,Retail,"General Merchandise Stores, Bookstores",[],,
Newport Retail Ctr LLC,"4678 Campus Dr Newport Beach, CA 92660",,(949) 419-4028,Retail,"Deordorant, Glue, Soap, General Merchandise Stores, Air Fresheners",[],,
PC Group Retail LLC,"21010 Pacific Coast Hwy Huntington Beach, CA 92648",,(714) 960-3297,Retail,"Shopping Centers & Malls, Real Estate Developers, General Merchandise Stores",[],,
Institute Of Retail Management,"5151 State University Dr Los Angeles, CA 90032",,(323) 343-2970,Retail,Business Organizations,[],,
Retail Center Online INC,"30316 Esperanza Rancho Sta Marg, CA 92688",,(949) 709-3294,Retail,Storage,[],,
L A Medical Retail,"747 Milford St Glendale, CA 91203",,(818) 937-9221,Retail,"Wholesalers, Wholesale Surgical Supplies",[],,
Pp Retail USA LLC,"48400 Seminole Dr Cabazon, CA 92230",,(951) 849-8200,Retail,General Merchandise Stores,[],,
Bg Retail Group LLC,"265 Hillsdale Mall San Mateo, CA 94403",,(650) 235-9596,Retail,Jewelry,[],,
Pier Mart Retail LLC,"1551 Ocean Ave Santa Monica, CA 90401",,(424) 253-1820,Retail,General Merchandise Stores,[],,
Fandel Retail Group INC,"650 5th St Ste 405 San Francisco, CA 94107",,(415) 538-8355,Retail,"Real Estate Consultants, Real Estate Agents",[],,
Retail Properties Of America,"950 Renz Ln Gilroy, CA 95020",,(408) 842-0997,Retail,Real Estate Consultants,[],,
Sign-Mart Retail Store,"1661 N Glassell St Orange, CA 92867",,(714) 921-1780,Retail,"Screen Printing, Sign Manufacturers, Sign Contractors, Engravers",[],,
Winston Retail Solutions LLC,"75 Broadway San Francisco, CA 94111",,(415) 558-9000,Retail,General Merchandise Stores,[],,
Sony Style Retail Store,"7007 Friars Rd Ste 731 San Diego, CA 92108",,(619) 220-7482,Retail,"Shop Online, Hitachi, Consumer Electronics, Department Stores, Car Alarms",[],,
Campus Retail Consulting Inc,"3609 Bianchi Way Bakersfield, CA 93309",,(661) 912-5944,Retail,Business Consultants,[],,
"Emporium Retail Group, LLC","10900 Wilshire Blvd Ste 710 Los Angeles, CA 90024",,(855) 245-3510,Retail,General Merchandise Stores,[],,
Rosemary's Garden Retail Store,"266 Washington Ct Sebastopol, CA 95472",,(707) 829-2539,Retail,Garden Centers,[],,
Komatsu Forklift Retail Oper,"1625 Fremont Ct Ontario, CA 91761",,(909) 930-1606,Retail,"Wholesale Material Handling Equipment, Wholesale Industrial Trucks",[],,
Central Valley Retail & Scrty,"5091 N Fresno St Fresno, CA 93710",,(559) 230-2827,Retail,"Security Guards, Wholesale Security Control Equipment, Scale Manufacturers, Wholesale Cash Registers, Security Equipment Manufacturers, Wholesale Scales, Security Systems, Cash Register Manufacturers",[],,
Travis Mathew Retail LLC,"10250 Santa Monica Blvd Ste 1780 Los Angeles, CA 90067",,(310) 279-5335,Retail,"General Merchandise Stores, Men's Clothing",[],,
Green Acres Nursery Retail,"8501 Jackson Rd Sacramento, CA 95826",,(916) 381-1625,Retail,"Lawn & Garden, Garden Centers, Statuary, General Merchandise Stores, Gas Engines",[],"Business Hours: Sun 8am-7pm, Mon-Sat 7am-7pm",
Owens Healthcare Retail Pharm,"2025 Court St Redding, CA 96001",,(530) 243-4336,Retail,"Wheelchairs, Pharmacies",[],"Business Hours: Mon-Fri 9am-6pm, Sat 9am-1pm",
Sequoia Retail Systems Inc,"202 W Main St Turlock, CA 95380",,(209) 667-2723,Retail,General Merchandise Stores,[],,
D & D Retail Enterprises,"39 Pier Ste 136 San Francisco, CA 94133",,(415) 989-2040,Retail,"Gift Shops, Souvenirs, Soap, Glue, General Merchandise Stores, Deordorant, Air Fresheners",[],,
"Macmall Retail Store, Torrance","22719 Hawthorne Blvd Torrance, CA 90505",,(310) 353-7443,Retail,Hotels & Motels,[],,
Safety Network Retail-Rentals,"2361 N Larkin Ave Fresno, CA 93727",,(559) 291-8000,Retail,"Traffic Control Services, Sign Manufacturers, General Merchandise Stores",[],,
Retail Conveyor Services LLC,"626 Wilshire Blvd Ste 410 Los Angeles, CA 90017",,(866) 738-2450,Retail,,[],,
Luxottica Optical Retail Shop,"1025 Prospect St La Jolla, CA 92037",,(858) 454-6119,Retail,Eyeglasses,[],,
Almart Retail Development Co,"1303 Town Center Ln Sunnyvale, CA 94086",,(408) 735-8187,Retail,General Merchandise Stores,[],,
Pan Pacific Retail Property,"5942 Edinger Ave Huntington Beach, CA 92649",,(714) 625-3567,Retail,"Real Estate Agents, Real Estate Consultants",[],,
Nike Retail Service Inc,"1600 Saratoga Ave San Jose, CA 95129",,(408) 374-4147,Retail,"General Merchandise Stores, Factory Outlets, Shoes",[],"Business Hours: Sun 10am-8pm, Mon-Sat 10am-9pm",
Bbw Cosmetics & Perfume Retail,"22900 Vanowen St West Hills, CA 91307",,(818) 932-9543,Retail,"Biosil, Beauty Supply Stores, Bliss, Cosmetics, Cosmetics, Gillette, Shaving Products, Hand Sanitizer, Acne Treatment, Skin Care Products, Essential OIls, Nail Care, Anti Aging Products, Braun, Bath Products, Lotions, Baby Products, Forever Living, Clarisonic, Face Cleansers, Tooth Health, Hair Care Products",[],"Business Hours: Sun 10am-7pm, Mon-Thu 10am-8pm, Fri-Sat 10am-9pm",
Boy London Retail Store,"7519 Melrose Ave Los Angeles, CA 90046",,(323) 655-0302,Retail,"Deordorant, Air Fresheners, Glue, General Merchandise Stores, Soap",[],,
College Park Retail Ctr,"2440 W Arrow Rte Upland, CA 91786",,(909) 621-4802,Retail,"Colleges, Shopping Centers & Malls",[],Business Hours: Daily 9am-6pm,
North Coast Retail Systems,"3433 Crestview Ct Napa, CA 94558",,(707) 255-9335,Retail,"Business Consultants, Computer System Designers, Wholesale Cash Registers",[],,
Mac Mall Retail Store,"1505 Wilshire Blvd Santa Monica, CA 90403",,(310) 394-7779,Retail,"Computer Equipment Manufacturers, Deordorant, Shop Online, Soap, General Merchandise Stores, Air Fresheners, Computer Hardware, Glue",[],,
Premier Retail Networks INC,"600 Harrison St Fl 4 San Francisco, CA 94107",,(415) 808-3500,Retail,"Publishing, Media Services",[],,
Eckhaus Latta Retail Store,"3311 W Washington Blvd Los Angeles, CA 90018",,(323) 905-2882,Retail,General Merchandise Stores,[],,
X Retail Group LLC,"2530 Berryessa Rd # 250 San Jose, CA 95132",,(408) 601-0401,Retail,Discount Stores,[],,
Monterey Retail Group LLC,"15850 Rica Vista Way San Jose, CA 95127",,(408) 926-9882,Retail,Discount Stores,[],,
West Coast Retail Inc,"13691 Central Ave Chino, CA 91710",,(909) 628-3512,Retail,General Merchandise Stores,[],,
Retail Graphix Imaging Inc,"909 S Cucamonga Ave Ste 108 Ontario, CA 91761",,(909) 673-0285,Retail,General Merchandise Stores,[],,
A & J Retail Co,"5060 E Montclair Plaza Ln Montclair, CA 91763",,(909) 450-2190,Retail,Sunglasses,[],,
Urban Retail Properties Co,"833 Market St San Francisco, CA 94103",,(415) 362-4915,Retail,Construction & Remodeling,[],,
Catellus Alameda Retail LLC,"2650 5th St Alameda, CA 94501",,(510) 337-9945,Retail,"Air Conditioning Equipment Manufacturers, Air Conditioning Contractors, Wholesale Air Conditioning Supplies, General Merchandise Stores",[],,
Retail Realm Distribution Inc,"477 Devlin Rd Ste 106 Napa, CA 94558",,(415) 300-7510,Retail,"Wholesale Distribution Centers, Advertising",[],,
James Perse Los Angeles Retail,"1128 N Highland Ave Los Angeles, CA 90038",,(323) 466-1808,Retail,"General Merchandise Stores, Women's Clothing, Clothing, Sleepwear",[],,
"Rw Authorized Retail Stores, LLC","1820 Howard Rd Madera, CA 93637",,(559) 675-1787,Retail,Major Appliances,[],,
A F T Mortgage Retail,"101 S Kraemer Blvd Placentia, CA 92870",,(714) 526-1784,Retail,Loans,[],,
Mapfre Retail Store-43rd St.,"1410 S 43rd St San Diego, CA 92113",,(619) 540-5787,Retail,"Insurance Agents & Brokers, Car Insurance, Insurance Agents, Insurance Services",[],"Business Hours: Mon 7am-6pm, Tue-Thu 9am-6pm",
Mapfre Retail Store-Atlantic Ave.,"6801 Atlantic Ave Bell, CA 90201",,(323) 376-3197,Retail,"Insurance Agents & Brokers, Insurance Agents, Car Insurance, Insurance Services, General Merchandise Stores",[],"Business Hours: Mon 7am-6pm, Tue-Thu 9am-6pm",
Shelter Bay Retail Group INC,"655 Redwood Hwy Frontage Rd Ste 177 Mill Valley, CA 94941",,(415) 388-4460,Retail,"Property Management, Shopping Centers & Malls, Real Estate Operators, Real Estate Consultants",[],Business Hours: Mon. - Fri. 9am - 5pm;Sat. - Sun. CLOSED,
Reeves Norm Irvine Auto Retail,"16 Auto Center Dr Irvine, CA 92618",,(949) 457-1813,Retail,General Merchandise Stores,[],,
R W Authorized Retail LLC,"39877 Avenue 12 Madera, CA 93636",,(559) 437-3744,Retail,"Craft Supplies, Major Appliances",[],,
Retail Tenant Source-Scott Cpn,"39270 Paseo Padre Pkwy # 238 Fremont, CA 94538",,(510) 207-6207,Retail,Real Estate Consultants,[],Business Hours: Mon-Fri 9am-5pm,
San Carlos School Retail Store,"480 Webster St Monterey, CA 93940",,(831) 375-4780,Retail,"K-12 Schools, Thrift Stores, Gift Shops",[],Business Hours: Tue. - Sat. 10am - 5:30pm,
Anaheim Plaza Shopping Ctr-Retail,"12342 Trask Ave Garden Grove, CA 92843",,(714) 774-1832,Retail,Restaurants,[],,
Red Mountain Retail Group Inc,"1760 Descanso Ave San Marcos, CA 92078",,(760) 599-7028,Retail,"Real Estate Consultants, Real Estate Agents",[],,
Y M B Alpha Retail,"3100 16th St San Francisco, CA 94103",,(415) 872-6822,Retail,"Health Food Stores, General Merchandise Stores",[],,
Bobby Chan Retail At Valencia,"24201 Valencia Blvd Valencia, CA 91355",,(661) 254-7900,Retail,Men's Clothing,[],,
National Retail Fncl Svc Inc,"4811 Eureka Ave Ste E Yorba Linda, CA 92886",,(657) 258-0133,Retail,General Merchandise Stores,[],,
Title 9 Sports Retail Store,"1840 4th St Berkeley, CA 94710",,(510) 526-1972,Retail,"Women's Clothing, Sporting Goods, Title Companies",[],"Business Hours: Mon - Sat, 10am - 6pm; Sun, 11am - 6pm",
Mai Vue Her Vang Retail,"6400 E Inyo St Fresno, CA 93727",,(408) 592-3752,Retail,General Merchandise Stores,[],,
Global Retail Mktng Assn Inc,"3802 Rosecrans St # 800 San Diego, CA 92110",,(619) 318-1108,Retail,Community Organizations,[],,
